annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur,fichier_source,feuille_source,ligne_source,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,15,polypes,50.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,19,polypes,50.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,23,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,24,polypes,4.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,25,polypes,30.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,27,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,28,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,29,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,30,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,31,polypes,50.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,32,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,33,polypes,50.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,34,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,35,polypes,50.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,36,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
