annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,28,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,33,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,29,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,34,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,30,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,35,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,31,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,36,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,32,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,13,37,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,33,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,38,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,34,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,39,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,35,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,40,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,36,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,13,41,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,37,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,42,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,1,ephyrules,150,150,standard,,Suivi_2025.xlsx,Aurelia,14,6,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,2,ephyrules,150.0,150,standard,,Suivi_2025.xlsx,Aurelia,14,7,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,3,ephyrules,150.0,150,standard,,Suivi_2025.xlsx,Aurelia,14,8,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,4,ephyrules,50.0,50,standard,,Suivi_2025.xlsx,Aurelia,14,9,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,5,ephyrules,50.0,50,standard,,Suivi_2025.xlsx,Aurelia,14,10,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,6,ephyrules,50,50,standard,,Suivi_2025.xlsx,Aurelia,14,11,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,7,ephyrules,4.0,4,standard,,Suivi_2025.xlsx,Aurelia,14,12,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,8,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,13,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,9,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,14,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,10,ephyrules,0,0,standard,,Suivi_2025.xlsx,Aurelia,14,15,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,11,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,16,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,12,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,17,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,13,ephyrules,35.0,35,standard,,Suivi_2025.xlsx,Aurelia,14,18,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,14,ephyrules,20,20,standard,,Suivi_2025.xlsx,Aurelia,14,19,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,15,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,20,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,16,ephyrules,30.0,30,standard,,Suivi_2025.xlsx,Aurelia,14,21,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,17,ephyrules,50.0,50,standard,,Suivi_2025.xlsx,Aurelia,14,22,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,18,ephyrules,50.0,50,standard,,Suivi_2025.xlsx,Aurelia,14,23,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,19,ephyrules,10,10,standard,,Suivi_2025.xlsx,Aurelia,14,24,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,20,ephyrules,200.0,200,standard,,Suivi_2025.xlsx,Aurelia,14,25,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,21,ephyrules,15.0,15,standard,,Suivi_2025.xlsx,Aurelia,14,26,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,22,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,27,False,ACA,ACA-FBA-1,1,FBA,02
