annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local,raison_anomalie_bloquante,raison_validation_metier
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,34,ephyrules,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,144,38,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,35,ephyrules,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,144,39,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,36,ephyrules,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,144,40,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,37,ephyrules,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,144,41,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,38,ephyrules,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,144,42,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,39,ephyrules,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,144,43,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,40,ephyrules,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,144,44,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,41,ephyrules,50.0,50,standard,FFC000,Suivi_2020.xlsx,Rhizostomae,144,45,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,42,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,46,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,43,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,47,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,44,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,48,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,45,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,49,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,46,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,50,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,47,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,51,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
